Pincode,officename,district,statename,latitude,longitude,Hub Code,statename,district,Hub Code
110005,Desh Bandhu Gupta Road SO,CENTRAL,DELHI,28.6535556,77.1918333,124103,DELHI,CENTRAL,124103
110006,Delhi GPO,NORTH,DELHI,28.662197,77.235397,124103,DELHI,NORTH,124103
110015,L. M. Nagar Indl. Area S.O,WEST,DELHI,28.6541389,77.1356389,124103,DELHI,WEST,124103
110022,R K Puram Sect1 SO,NEW DELHI,DELHI,28.5615556,77.1792222,124103,DELHI,NEW DELHI,124103
110026,Punjabi Bagh S.O,WEST,DELHI,28.6678611,77.1434444,124103,DELHI,SOUTH,124103
110028,Naraina Village S.O,NEW DELHI,DELHI,28.6305,77.1349167,124103,DELHI,SOUTH WEST,124103
110029,Safdarjung Enclave SO,SOUTH,DELHI,28.5664228,77.1998703,124103,DELHI,NORTH WEST,124103
110039,Jat Khore BO,NORTH,DELHI,28.7996944,77.0380555,124103,DELHI,NORTH EAST,124103
110041,Nilothi B.O,WEST,DELHI,28.651181,77.059325,124103,DELHI,EAST,124103
110042,Samai Pur SO,NORTH,DELHI,28.7441111,77.145,124103,HARYANA,FARIDABAD,124103
110045,Dabri B.O,SOUTH WEST,DELHI,28.609675,77.089542,124103,HARYANA,PALWAL,124103
110046,Sagarpur S.O,NEW DELHI,DELHI,28.6110556,77.1029167,124103,HARYANA,GURUGRAM,122413
110056,Shakur Basti Depot SO,NORTH WEST,DELHI,28.6827222,77.1111111,124103,HARYANA,NUH,124103
110061,Bijwasan SO,SOUTH WEST,DELHI,28.53285,77.05162,124103,NA,NA,600067
110064,Hari Nagar BE Block S.O,WEST,DELHI,28.6287778,77.1226111,124103,HARYANA,MAHENDRAGARH,124103
110070,Vasant Kunj SO,NEW DELHI,DELHI,28.534162,77.152685,124103,HARYANA,REWARI,124103
110080,Sangam Vihar SO,SOUTH,DELHI,28.5,77.24,124103,HARYANA,JHAJJAR,124103
110082,Khera Khurd BO,NORTH,DELHI,28.7721666,77.119,124103,HARYANA,ROHTAK,124103
110089,Rohini Sector 15 SO,NORTH WEST,DELHI,28.7348056,77.1325,124103,HARYANA,FATEHABAD,124103
110090,Khajoori Khas BO,NORTH EAST,DELHI,28.69225,77.3042222,124103,HARYANA,SIRSA,124103
110091,Kalyanpuri SO,EAST,DELHI,28.6146944,77.3178056,124103,HARYANA,HISAR,124103
110093,Mandoli Saboli BO,NORTH EAST,DELHI,28.702185,77.30501,124103,HARYANA,JIND,124103
121007,Faridabad Sector 15 SO,FARIDABAD,HARYANA,28.395403,77.315292,124103,HARYANA,CHARKI DADRI,124103
121009,Surajkund Faridabad SO,FARIDABAD,HARYANA,28.4881111,77.2945833,124103,HARYANA,BHIWANI,124103
121014,Greater Faridabad PO,FARIDABAD,HARYANA,28.4726,77.4848,124103,HARYANA,SONIPAT,124103
121015,Sector55 PO,FARIDABAD,HARYANA,28.3453,77.2965,124103,HARYANA,KARNAL,124103
121103,Kondal BO,PALWAL,HARYANA,28.0511,77.270687,124103,HARYANA,PANIPAT,124103
122003,Gwal Pahari BO,GURUGRAM,HARYANA,28.4465007,77.073616,122413,HARYANA,AMBALA,124103
122005,Air Force SO,GURUGRAM,HARYANA,28.5056111,77.0710556,122413,HARYANA,YAMUNANAGAR,124103
122008,DLF PhII SO,GURUGRAM,HARYANA,28.462,77.0316389,122413,HARYANA,PANCHKULA,124103
122010,DLF PhIII SO,GURUGRAM,HARYANA,28.466093,77.1058349,122413,HARYANA,KURUKSHETRA,124103
122012,Vatika India Sec 82 SO,GURUGRAM,HARYANA,28.413887,76.9931945,122413,PUNJAB,RUPNAGAR,124103
122015,Palam Road SO,GURUGRAM,HARYANA,28.4973611,77.0630556,122413,PUNJAB,FATEHGARH SAHIB,124103
122018,D Block South City II Gurgaon,GURUGRAM,HARYANA,0,0,122413,PUNJAB,LUDHIANA,124103
122052,IMT Manesar SO,GURUGRAM,HARYANA,28.342,76.9364722,122413,PUNJAB,MOGA,124103
122104,Agon BO,NUH,HARYANA,NA,NA,124103,PUNJAB,FIROZEPUR,124103
122105,Baghanki BO,NUH,HARYANA,NA,NA,124103,PUNJAB,AMRITSAR,124103
122504,Noorgarh BO,GURUGRAM,HARYANA,28.467015,77.081198,122413,PUNJAB,Tarn Taran,124103
122999,NDC GURGAON,NA,NA,28.496716,77.08547,600067,PUNJAB,GURDASPUR,124103
123034,Jhagroli BO,MAHENDRAGARH,HARYANA,28.258604,76.227683,124103,PUNJAB,PATHANKOT,124103
123035,Guraora BO,REWARI,HARYANA,NA,NA,124103,PUNJAB,JALANDHAR,124103
123302,Bhakli BO,REWARI,HARYANA,NA,NA,124103,PUNJAB,HOSHIARPUR,124103
124021,Bhambhewa BO,JHAJJAR,HARYANA,28.452977,76.378498,124103,PUNJAB,KAPURTHALA,124103
124102,Madana Kalan BO,JHAJJAR,HARYANA,28.759966,76.931763,124103,PUNJAB,Shahid Bhagat Singh Nagar,124103
124106,Jharli BO,JHAJJAR,HARYANA,28.735904,76.510506,124103,PUNJAB,PATIALA,124103
124112,Sisarkhas BO,ROHTAK,HARYANA,28.735904,76.620026,124103,PUNJAB,MALERKOTLA,124103
